10	0	0.36	0
11	0	0.36	0
12	0	0.36	0
13	0	0.36	0
14	0	0.43	0
15	0	0.29	0
16	0	0.35	0
17	0	0.35	0
18	0	0.35	0
19	0	0.37	0
21	0	0.25	0
22	0	0.43	0
23	0	0.50	0
25	0	0.50	0
26	0	0.40	0
27	0	0.36	0
28	0	0.33	0
29	0	0.43	0		
31	0	0.10	0
33	0	0.10	0
45	0	0.35	0
46	0	0.36	0
47	0	0.36	0
48	0	0.34	0
54	0	0.46	0
55	0	0.40	0
56	0	0.40	0
63	0	0.46	0
43	0	0.12	0
44	0	0.16	0
71	0	0.34	0
72	0	0.26	0
73	0	0.30	0
74	0	0.26	0
136	0	0.27	0
143	0	0.25	0
144	0	0.18	0
145	0	0.18	0
151	0	0.25	0
155	0	0.30	0
156	0	0.30	0
157	0	0.30	0
158	0	0.40	0
159	0	0.40	0
160	0	0.40	0
161	0	0.34	0
162	0	0.40	0

